Song Name,Artist,Genre,Popularity,Danceability ,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Intentions (feat. Quavo),Justin Bieber,"['canadian pop', 'pop', 'post-teen pop']",77,0.806,0.546,-6.637,0.0575,0.3,0.102,147.986,212867,0.874
Sofia,Clairo,"['bedroom pop', 'indie pop', 'pop']",81,0.744,0.619,-9.805,0.039,0.598,0.231,112.997,188387,0.641
Photograph,Ed Sheeran,"['pop', 'uk pop']",83,0.614,0.379,-10.48,0.0476,0.607,0.0986,107.989,258987,0.201
Madonna,"Bausa, Apache 207","['german hip hop', 'german pop']",68,0.806,0.565,-8.96,0.113,0.47,0.0824,116.963,195734,0.311
CLOUDS,NF,"['hip hop', 'pop rap', 'rap']",69,0.793,0.65,-3.944,0.397,0.371,0.854,128.111,243750,0.809
Skin,Sabrina Carpenter,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",76,0.557,0.457,-5.372,0.0335,0.428,0.0567,105.918,177500,0.328
Tyler Herro,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",76,0.794,0.756,-7.16,0.136,0.11,0.247,123.066,156498,0.775
Remember That Night?,Sara Kays,"['alt z', 'indie cafe pop', 'modern indie pop', 'pop', 'social media pop']",78,0.679,0.61,-10.936,0.0305,0.585,0.156,123.978,227186,0.554
Lifestyle (feat. Adam Levine),"Jason Derulo, Maroon 5","['dance pop', 'pop', 'pop rap', 'post-teen pop']",78,0.749,0.674,-5.128,0.0366,0.0209,0.169,123.055,153865,0.711
Fly Away,Tones And I,"['australian pop', 'pop']",79,0.806,0.513,-6.208,0.0685,0.217,0.217,124.988,178157,0.503
Despeinada,"Ozuna, Camilo","['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",75,0.734,0.775,-3.855,0.0614,0.186,0.123,166.039,224187,0.72
motive (with Doja Cat),Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",80,0.789,0.742,-5.664,0.0652,0.0681,0.166,116.965,167990,0.661
I Don't Care (with Justin Bieber),Ed Sheeran,"['pop', 'uk pop']",80,0.798,0.675,-5.041,0.0442,0.0912,0.0894,101.956,219947,0.842
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Bizarrap, Nathy Peluso","['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",77,0.65,0.655,-3.71,0.405,0.25,0.0691,94.059,171215,0.735
Haw?i - Remix,"Maluma, The Weeknd","['latin', 'reggaeton', 'reggaeton colombiano']",77,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,200482,0.609
